"variable","percent.contribution","permutation.importance","ImpRank","PercContRank","modnr"
"cont300dist",23.0934,17.1674,2,1,34
"cont800dist",20.8105,18.4549,1,2,34
"distToShore",14.2755,7.7253,5,3,34
"EMPEabund",14.1495,7.2961,6,4,34
"EMPEdist",7.3513,13.7339,3,5,34
"distNearestIceEdge",6.3363,6.0086,7,6,34
"Persistence2Years",5.8438,12.0172,4,7,34
"PredictabilityOct5Years",2.215,2.1459,11,8,34
"meanslope",1.2998,5.1502,8,9,34
"meanbathy",1.2559,0.4292,15,10,34
"fastIceRatio",1.2082,0.8584,13,11,34
"ADPEabund",1.0386,2.1459,10,12,34
"glacierdist",0.6396,1.7167,12,13,34
"ADPEdist",0.4824,4.721,9,14,34
"PredictabilityDec5Years",0,0.4292,14,15,34
"DecemberIcePresence",0,0,16,16,34
"InTrough",0,0,17,17,34
"cont800dist",22.8943,22.1882,1,1,35
"cont300dist",21.0195,17.7505,2,2,35
"EMPEdist",15.9145,13.8676,3,3,35
"distToShore",9.7668,10.5394,4,4,35
"ADPEdist",5.5381,5.547,7,5,35
"EMPEabund",5.4507,6.1018,6,6,35
"Persistence2Years",4.3967,5.547,8,7,35
"PredictabilityOct5Years",3.5756,2.2188,11,8,35
"distNearestIceEdge",3.2996,6.6565,5,9,35
"DecemberIcePresence",3.0072,0,16,10,35
"InTrough",2.1346,0.5547,13,11,35
"glacierdist",1.1425,3.8829,9,12,35
"meanslope",0.8696,3.3282,10,13,35
"ADPEabund",0.5049,1.1094,12,14,35
"meanbathy",0.397,0.5547,14,15,35
"fastIceRatio",0.0886,0.1532,15,16,35
"PredictabilityDec5Years",0,0,17,17,35
"cont300dist",24.7612,16.092,3,1,36
"cont800dist",23.3758,22.9885,1,2,36
"EMPEdist",16.6731,16.6667,2,3,36
"distToShore",9.0995,10.9195,4,4,36
"EMPEabund",5.9497,4.5977,7,5,36
"ADPEdist",4.8721,4.023,8,6,36
"Persistence2Years",4.4266,7.4713,5,7,36
"distNearestIceEdge",3.6708,5.1724,6,8,36
"PredictabilityOct5Years",3.0451,3.4483,9,9,36
"glacierdist",1.1227,2.8736,10,10,36
"DecemberIcePresence",0.9072,1.1494,13,11,36
"InTrough",0.6558,0.5747,14,12,36
"fastIceRatio",0.6042,1.7241,12,13,36
"ADPEabund",0.5109,0,15,14,36
"meanslope",0.3248,2.2989,11,15,36
"meanbathy",4e-04,0,17,16,36
"PredictabilityDec5Years",0,0,16,17,36
"cont300dist",24.7612,23.2558,1,1,37
"cont800dist",23.3758,20.3488,2,2,37
"EMPEdist",16.6731,13.9535,3,3,37
"distToShore",9.0995,9.8837,4,4,37
"EMPEabund",5.9497,4.0698,7,5,37
"ADPEdist",4.8721,4.6512,6,6,37
"Persistence2Years",4.4266,3.4884,9,7,37
"distNearestIceEdge",3.6708,4.0698,8,8,37
"PredictabilityOct5Years",3.0451,6.3953,5,9,37
"glacierdist",1.1227,2.907,10,10,37
"DecemberIcePresence",0.9072,1.7442,12,11,37
"InTrough",0.6558,1.7442,13,12,37
"fastIceRatio",0.6042,1.7442,14,13,37
"ADPEabund",0.5109,1.7442,11,14,37
"meanslope",0.3248,0,17,15,37
"meanbathy",4e-04,0,16,16,37
"PredictabilityDec5Years",0,0,15,17,37
"cont300dist",24.7612,19.7315,2,1,38
"cont800dist",23.3758,22.0528,1,2,38
"EMPEdist",16.6731,13.3478,3,3,38
"distToShore",9.0995,11.0264,4,4,38
"EMPEabund",5.9497,5.4049,7,5,38
"ADPEdist",4.8721,2.9017,9,6,38
"Persistence2Years",4.4266,5.8034,6,7,38
"distNearestIceEdge",3.6708,4.0624,8,8,38
"PredictabilityOct5Years",3.0451,7.5444,5,9,38
"glacierdist",1.1227,2.3214,10,10,38
"DecemberIcePresence",0.9072,1.1607,13,11,38
"InTrough",0.6558,0.5803,15,12,38
"fastIceRatio",0.6042,1.741,11,13,38
"ADPEabund",0.5109,1.1607,12,14,38
"meanslope",0.3248,1.1607,14,15,38
"meanbathy",4e-04,0,17,16,38
"PredictabilityDec5Years",0,0,16,17,38
"cont300dist",22.8726,15.7969,2,1,39
"cont800dist",20.9449,20.4932,1,2,39
"distToShore",14.3506,12.3813,4,3,39
"EMPEabund",14.1787,6.4041,6,4,39
"EMPEdist",7.2785,13.2352,3,5,39
"distNearestIceEdge",6.3686,5.5502,8,6,39
"Persistence2Years",5.8736,7.258,5,7,39
"PredictabilityOct5Years",2.2263,2.9886,10,8,39
"meanslope",1.2818,6.4041,7,9,39
"meanbathy",1.2623,0.4269,16,10,39
"fastIceRatio",1.2144,0.4269,15,11,39
"ADPEabund",1.0463,1.7078,11,12,39
"glacierdist",0.6495,0.5225,13,13,39
"ADPEdist",0.4153,4.2694,9,14,39
"InTrough",0.0366,0.4269,14,15,39
"PredictabilityDec5Years",0,1.7078,12,16,39
"DecemberIcePresence",0,0,17,17,39
"cont300dist",22.8726,14.8649,2,1,40
"cont800dist",20.9449,19.3694,1,2,40
"distToShore",14.3506,9.009,5,3,40
"EMPEabund",14.1787,5.8559,7,4,40
"EMPEdist",7.2785,11.7117,3,5,40
"distNearestIceEdge",6.3686,5.4054,8,6,40
"Persistence2Years",5.8736,9.009,4,7,40
"PredictabilityOct5Years",2.2263,3.6036,10,8,40
"meanslope",1.2818,6.7568,6,9,40
"meanbathy",1.2623,0.4505,15,10,40
"fastIceRatio",1.2144,1.3514,14,11,40
"ADPEabund",1.0463,2.7027,11,12,40
"glacierdist",0.6495,2.2523,13,13,40
"ADPEdist",0.4153,4.955,9,14,40
"InTrough",0.0366,0,17,15,40
"PredictabilityDec5Years",0,2.7027,12,16,40
"DecemberIcePresence",0,0,16,17,40
"cont300dist",24.7612,22.0339,1,1,41
"cont800dist",23.3758,21.4689,2,2,41
"EMPEdist",16.6731,16.3842,3,3,41
"distToShore",9.0995,11.2994,4,4,41
"EMPEabund",5.9497,3.3898,8,5,41
"ADPEdist",4.8721,5.0847,5,6,41
"Persistence2Years",4.4266,3.3898,9,7,41
"distNearestIceEdge",3.6708,5.0847,6,8,41
"PredictabilityOct5Years",3.0451,4.5198,7,9,41
"glacierdist",1.1227,2.8249,10,10,41
"DecemberIcePresence",0.9072,1.1299,12,11,41
"InTrough",0.6558,0,15,12,41
"fastIceRatio",0.6042,2.2599,11,13,41
"ADPEabund",0.5109,0,14,14,41
"meanslope",0.3248,1.1299,13,15,41
"meanbathy",4e-04,0,17,16,41
"PredictabilityDec5Years",0,0,16,17,41
"cont800dist",22.8943,19.7416,1,1,42
"cont300dist",21.0195,17.2106,2,2,42
"EMPEdist",15.9145,15.6921,3,3,42
"distToShore",9.7668,14.1735,4,4,42
"ADPEdist",5.5381,4.0496,8,5,42
"EMPEabund",5.4507,6.5805,5,6,42
"Persistence2Years",4.3967,5.5681,6,7,42
"PredictabilityOct5Years",3.5756,2.0248,11,8,42
"distNearestIceEdge",3.2996,5.5681,7,9,42
"DecemberIcePresence",3.0072,1.0124,12,10,42
"InTrough",2.1346,0.5062,15,11,42
"glacierdist",1.1425,2.1646,10,12,42
"meanslope",0.8696,4.0496,9,13,42
"ADPEabund",0.5049,0.5062,14,14,42
"meanbathy",0.397,1.0124,13,15,42
"fastIceRatio",0.0886,0.1398,16,16,42
"PredictabilityDec5Years",0,0,17,17,42
"cont800dist",22.8943,22.2137,1,1,43
"cont300dist",21.0195,16.0145,2,2,43
"EMPEdist",15.9145,15.4979,3,3,43
"distToShore",9.7668,12.9149,4,4,43
"ADPEdist",5.5381,2.583,10,5,43
"EMPEabund",5.4507,5.166,7,6,43
"Persistence2Years",4.3967,2.583,11,7,43
"PredictabilityOct5Years",3.5756,4.1328,9,8,43
"distNearestIceEdge",3.2996,6.1992,5,9,43
"DecemberIcePresence",3.0072,0,16,10,43
"InTrough",2.1346,0.5166,14,11,43
"glacierdist",1.1425,5.3202,6,12,43
"meanslope",0.8696,5.166,8,13,43
"ADPEabund",0.5049,0.5166,13,14,43
"meanbathy",0.397,1.0332,12,15,43
"fastIceRatio",0.0886,0.1426,15,16,43
"PredictabilityDec5Years",0,0,17,17,43
"cont300dist",24.7612,17.1598,3,1,44
"cont800dist",23.3758,21.3018,1,2,44
"EMPEdist",16.6731,18.3432,2,3,44
"distToShore",9.0995,10.6509,4,4,44
"EMPEabund",5.9497,7.1006,5,5,44
"ADPEdist",4.8721,2.3669,10,6,44
"Persistence2Years",4.4266,4.142,7,7,44
"distNearestIceEdge",3.6708,4.142,8,8,44
"PredictabilityOct5Years",3.0451,5.3254,6,9,44
"glacierdist",1.1227,4.142,9,10,44
"DecemberIcePresence",0.9072,1.1834,13,11,44
"InTrough",0.6558,0,15,12,44
"fastIceRatio",0.6042,1.7751,11,13,44
"ADPEabund",0.5109,1.1834,12,14,44
"meanslope",0.3248,1.1834,14,15,44
"meanbathy",4e-04,0,17,16,44
"PredictabilityDec5Years",0,0,16,17,44
"cont300dist",24.7612,19.8895,1,1,45
"cont800dist",23.3758,19.8895,2,2,45
"EMPEdist",16.6731,17.1271,3,3,45
"distToShore",9.0995,11.0497,4,4,45
"EMPEabund",5.9497,5.5249,6,5,45
"ADPEdist",4.8721,7.1823,5,6,45
"Persistence2Years",4.4266,4.4199,7,7,45
"distNearestIceEdge",3.6708,3.8674,8,8,45
"PredictabilityOct5Years",3.0451,3.3149,9,9,45
"glacierdist",1.1227,2.2099,10,10,45
"DecemberIcePresence",0.9072,1.105,12,11,45
"InTrough",0.6558,1.105,13,12,45
"fastIceRatio",0.6042,1.6575,11,13,45
"ADPEabund",0.5109,0.5525,15,14,45
"meanslope",0.3248,1.105,14,15,45
"meanbathy",4e-04,0,17,16,45
"PredictabilityDec5Years",0,0,16,17,45
"cont800dist",23.1428,21.1864,1,1,46
"cont300dist",23.0613,16.1017,2,2,46
"EMPEdist",11.9798,13.9831,3,3,46
"Persistence2Years",11.2768,3.8136,7,4,46
"distToShore",8.9947,11.8644,4,5,46
"ADPEdist",4.307,5.5085,6,6,46
"PredictabilityOct5Years",4.2412,2.5424,13,7,46
"distNearestIceEdge",4.0225,3.8136,8,8,46
"EMPEabund",3.7739,5.9322,5,9,46
"glacierdist",1.6299,3.8136,9,10,46
"fastIceRatio",1.2138,2.9661,10,11,46
"ADPEabund",1.1951,1.2712,14,12,46
"meanslope",0.4271,2.9661,11,13,46
"meanbathy",0.424,0.8475,16,14,46
"PredictabilityDec5Years",0.2504,2.5424,12,15,46
"DecemberIcePresence",0.0597,0.8475,15,16,46
"InTrough",0,0,17,17,46
"cont800dist",22.8943,22.0313,1,1,47
"cont300dist",21.0195,14.8711,3,2,47
"EMPEdist",15.9145,17.0743,2,3,47
"distToShore",9.7668,11.0157,4,4,47
"ADPEdist",5.5381,2.7539,9,5,47
"EMPEabund",5.4507,8.8125,5,6,47
"Persistence2Years",4.3967,4.4063,7,7,47
"PredictabilityOct5Years",3.5756,2.7539,10,8,47
"distNearestIceEdge",3.2996,6.6094,6,9,47
"DecemberIcePresence",3.0072,0.5508,14,10,47
"InTrough",2.1346,0,16,11,47
"glacierdist",1.1425,2.3593,11,12,47
"meanslope",0.8696,3.8555,8,13,47
"ADPEabund",0.5049,1.1016,13,14,47
"meanbathy",0.397,1.6523,12,15,47
"fastIceRatio",0.0886,0.1521,15,16,47
"PredictabilityDec5Years",0,0,17,17,47
"cont800dist",22.8943,21.1022,1,1,48
"cont300dist",21.0195,15.9694,3,2,48
"EMPEdist",15.9145,15.9694,2,3,48
"distToShore",9.7668,8.8107,4,4,48
"ADPEdist",5.5381,4.4054,10,5,48
"EMPEabund",5.4507,4.956,7,6,48
"Persistence2Years",4.3967,7.1587,5,7,48
"PredictabilityOct5Years",3.5756,3.304,11,8,48
"distNearestIceEdge",3.2996,5.5067,6,9,48
"DecemberIcePresence",3.0072,0.5507,14,10,48
"InTrough",2.1346,0,16,11,48
"glacierdist",1.1425,4.956,8,12,48
"meanslope",0.8696,4.956,9,13,48
"ADPEabund",0.5049,1.1013,12,14,48
"meanbathy",0.397,1.1013,13,15,48
"fastIceRatio",0.0886,0.1521,15,16,48
"PredictabilityDec5Years",0,0,17,17,48
"cont800dist",22.9839,20.8861,1,1,49
"cont300dist",19.7387,15.8228,3,2,49
"EMPEdist",19.4608,17.7215,2,3,49
"distToShore",11.3359,5.0633,8,4,49
"PredictabilityOct5Years",6.5644,5.0633,7,5,49
"ADPEdist",5.5464,6.962,5,6,49
"Persistence2Years",3.7072,7.5949,4,7,49
"EMPEabund",3.4718,6.3291,6,8,49
"fastIceRatio",2.7358,2.5316,11,9,49
"distNearestIceEdge",1.7544,3.1646,10,10,49
"meanbathy",0.8633,2.5316,12,11,49
"meanslope",0.7095,3.7975,9,12,49
"InTrough",0.5508,0.6329,14,13,49
"ADPEabund",0.3924,0,15,14,49
"DecemberIcePresence",0.1847,1.8987,13,15,49
"glacierdist",1e-04,0,17,16,49
"PredictabilityDec5Years",0,0,16,17,49
"cont800dist",22.8943,19.3369,1,1,50
"cont300dist",21.0195,16.9198,2,2,50
"EMPEdist",15.9145,13.1931,4,3,50
"distToShore",9.7668,16.9198,3,4,50
"ADPEdist",5.5381,5.8011,5,5,50
"EMPEabund",5.4507,5.3177,7,6,50
"Persistence2Years",4.3967,4.8342,8,7,50
"PredictabilityOct5Years",3.5756,3.8674,9,8,50
"distNearestIceEdge",3.2996,5.8011,6,9,50
"DecemberIcePresence",3.0072,0.4834,14,10,50
"InTrough",2.1346,0.4834,15,11,50
"glacierdist",1.1425,1.591,11,12,50
"meanslope",0.8696,3.8674,10,13,50
"ADPEabund",0.5049,0.4834,13,14,50
"meanbathy",0.397,0.9668,12,15,50
"fastIceRatio",0.0886,0.1335,16,16,50
"PredictabilityDec5Years",0,0,17,17,50
"cont800dist",22.8943,18.8224,1,1,51
"cont300dist",21.0195,17.2962,2,2,51
"EMPEdist",15.9145,15.7701,3,3,51
"distToShore",9.7668,11.7004,4,4,51
"ADPEdist",5.5381,4.5784,8,5,51
"EMPEabund",5.4507,4.0697,10,6,51
"Persistence2Years",4.3967,5.5958,5,7,51
"PredictabilityOct5Years",3.5756,5.0871,7,8,51
"distNearestIceEdge",3.2996,5.5958,6,9,51
"DecemberIcePresence",3.0072,0.5087,14,10,51
"InTrough",2.1346,0.5087,15,11,51
"glacierdist",1.1425,4.2216,9,12,51
"meanslope",0.8696,4.0697,11,13,51
"ADPEabund",0.5049,1.0174,12,14,51
"meanbathy",0.397,1.0174,13,15,51
"fastIceRatio",0.0886,0.1405,16,16,51
"PredictabilityDec5Years",0,0,17,17,51
"cont300dist",24.7612,13.5135,4,1,52
"cont800dist",23.3758,22.973,1,2,52
"EMPEdist",16.6731,18.9189,2,3,52
"distToShore",9.0995,16.2162,3,4,52
"EMPEabund",5.9497,6.0811,6,5,52
"ADPEdist",4.8721,6.0811,5,6,52
"Persistence2Years",4.4266,4.0541,7,7,52
"distNearestIceEdge",3.6708,4.0541,8,8,52
"PredictabilityOct5Years",3.0451,2.7027,9,9,52
"glacierdist",1.1227,1.3514,12,10,52
"DecemberIcePresence",0.9072,0.6757,13,11,52
"InTrough",0.6558,0,14,12,52
"fastIceRatio",0.6042,2.027,10,13,52
"ADPEabund",0.5109,1.3514,11,14,52
"meanslope",0.3248,0,17,15,52
"meanbathy",4e-04,0,16,16,52
"PredictabilityDec5Years",0,0,15,17,52
"cont300dist",24.7612,15.7233,3,1,53
"cont800dist",23.3758,22.6415,1,2,53
"EMPEdist",16.6731,16.9811,2,3,53
"distToShore",9.0995,11.3208,4,4,53
"EMPEabund",5.9497,4.4025,7,5,53
"ADPEdist",4.8721,6.9182,5,6,53
"Persistence2Years",4.4266,5.6604,6,7,53
"distNearestIceEdge",3.6708,3.1447,10,8,53
"PredictabilityOct5Years",3.0451,4.4025,8,9,53
"glacierdist",1.1227,1.8868,12,10,53
"DecemberIcePresence",0.9072,1.2579,13,11,53
"InTrough",0.6558,0,15,12,53
"fastIceRatio",0.6042,1.8868,11,13,53
"ADPEabund",0.5109,3.1447,9,14,53
"meanslope",0.3248,0.6289,14,15,53
"meanbathy",4e-04,0,17,16,53
"PredictabilityDec5Years",0,0,16,17,53
"cont800dist",23.3538,21.267,2,1,54
"cont300dist",23.1888,21.7195,1,2,54
"EMPEdist",12.0444,14.9321,3,3,54
"Persistence2Years",11.373,4.0724,7,4,54
"distToShore",9.0359,9.9548,4,5,54
"ADPEdist",4.3274,4.5249,6,6,54
"PredictabilityOct5Years",4.2586,2.7149,11,7,54
"distNearestIceEdge",4.0314,3.6199,8,8,54
"EMPEabund",3.4058,4.9774,5,9,54
"glacierdist",1.7548,3.6199,9,10,54
"ADPEabund",1.2007,1.81,13,11,54
"fastIceRatio",1.1654,2.7149,12,12,54
"meanbathy",0.3401,0.4525,15,13,54
"PredictabilityDec5Years",0.2516,2.7149,10,14,54
"meanslope",0.1842,0,17,15,54
"DecemberIcePresence",0.0842,0.905,14,16,54
"InTrough",0,0,16,17,54
"cont800dist",22.8943,19.6811,1,1,55
"cont300dist",21.0195,18.5564,2,2,55
"EMPEdist",15.9145,15.7449,3,3,55
"distToShore",9.7668,12.9333,4,4,55
"ADPEdist",5.5381,3.3739,9,5,55
"EMPEabund",5.4507,5.2119,7,6,55
"Persistence2Years",4.3967,5.6232,6,7,55
"PredictabilityOct5Years",3.5756,1.6869,12,8,55
"distNearestIceEdge",3.2996,6.1855,5,9,55
"DecemberIcePresence",3.0072,0.5623,14,10,55
"InTrough",2.1346,0.5623,15,11,55
"glacierdist",1.1425,3.5376,8,12,55
"meanslope",0.8696,3.3739,10,13,55
"ADPEabund",0.5049,1.6869,11,14,55
"meanbathy",0.397,1.1246,13,15,55
"fastIceRatio",0.0886,0.1553,16,16,55
"PredictabilityDec5Years",0,0,17,17,55
"cont300dist",24.7612,17.7143,2,1,56
"cont800dist",23.3758,21.7143,1,2,56
"EMPEdist",16.6731,14.8571,3,3,56
"distToShore",9.0995,10.8571,4,4,56
"EMPEabund",5.9497,5.1429,7,5,56
"ADPEdist",4.8721,6.2857,5,6,56
"Persistence2Years",4.4266,5.1429,8,7,56
"distNearestIceEdge",3.6708,4,10,8,56
"PredictabilityOct5Years",3.0451,4,9,9,56
"glacierdist",1.1227,5.7143,6,10,56
"DecemberIcePresence",0.9072,1.1429,13,11,56
"InTrough",0.6558,0,15,12,56
"fastIceRatio",0.6042,1.7143,11,13,56
"ADPEabund",0.5109,0,14,14,56
"meanslope",0.3248,1.7143,12,15,56
"meanbathy",4e-04,0,17,16,56
"PredictabilityDec5Years",0,0,16,17,56
"cont800dist",22.8943,21.9106,1,1,57
"cont300dist",21.0195,19.7196,2,2,57
"EMPEdist",15.9145,15.3374,3,3,57
"distToShore",9.7668,14.7897,4,4,57
"ADPEdist",5.5381,1.0955,13,5,57
"EMPEabund",5.4507,3.2866,7,6,57
"Persistence2Years",4.3967,2.7388,9,7,57
"PredictabilityOct5Years",3.5756,4.9299,6,8,57
"distNearestIceEdge",3.2996,6.5732,5,9,57
"DecemberIcePresence",3.0072,0,16,10,57
"InTrough",2.1346,0.5478,14,11,57
"glacierdist",1.1425,2.3464,10,12,57
"meanslope",0.8696,3.2866,8,13,57
"ADPEabund",0.5049,1.6433,11,14,57
"meanbathy",0.397,1.6433,12,15,57
"fastIceRatio",0.0886,0.1512,15,16,57
"PredictabilityDec5Years",0,0,17,17,57
"cont800dist",22.8943,22.2132,1,1,58
"cont300dist",21.0195,18.9625,2,2,58
"EMPEdist",15.9145,15.17,3,3,58
"distToShore",9.7668,9.7522,4,4,58
"ADPEdist",5.5381,3.2507,10,5,58
"EMPEabund",5.4507,3.7925,9,6,58
"Persistence2Years",4.3967,5.9596,6,7,58
"PredictabilityOct5Years",3.5756,2.1671,11,8,58
"distNearestIceEdge",3.2996,7.0432,5,9,58
"DecemberIcePresence",3.0072,0,16,10,58
"InTrough",2.1346,0.5418,14,11,58
"glacierdist",1.1425,3.9542,8,12,58
"meanslope",0.8696,4.8761,7,13,58
"ADPEabund",0.5049,1.0836,12,14,58
"meanbathy",0.397,1.0836,13,15,58
"fastIceRatio",0.0886,0.1496,15,16,58
"PredictabilityDec5Years",0,0,17,17,58
"cont800dist",22.9839,15.3846,3,1,59
"cont300dist",19.7387,17.7515,2,2,59
"EMPEdist",19.4608,18.9349,1,3,59
"distToShore",11.3359,10.0592,4,4,59
"PredictabilityOct5Years",6.5644,4.142,7,5,59
"ADPEdist",5.5464,3.5503,8,6,59
"Persistence2Years",3.7072,8.8757,5,7,59
"EMPEabund",3.4718,6.5089,6,8,59
"fastIceRatio",2.7358,3.5503,9,9,59
"distNearestIceEdge",1.7544,2.9586,10,10,59
"meanbathy",0.8633,2.3669,12,11,59
"meanslope",0.7095,1.7751,13,12,59
"InTrough",0.5508,0.5917,15,13,59
"ADPEabund",0.3924,2.3669,11,14,59
"DecemberIcePresence",0.1847,1.1834,14,15,59
"glacierdist",1e-04,0,17,16,59
"PredictabilityDec5Years",0,0,16,17,59
"cont800dist",22.8943,20.466,1,1,60
"cont300dist",21.0195,14.6936,2,2,60
"EMPEdist",15.9145,13.1192,3,3,60
"distToShore",9.7668,12.5945,4,4,60
"ADPEdist",5.5381,6.2972,7,5,60
"EMPEabund",5.4507,7.3468,5,6,60
"Persistence2Years",4.3967,5.2477,8,7,60
"PredictabilityOct5Years",3.5756,2.6238,11,8,60
"distNearestIceEdge",3.2996,7.3468,6,9,60
"DecemberIcePresence",3.0072,0,16,10,60
"InTrough",2.1346,0.5248,14,11,60
"glacierdist",1.1425,3.8222,9,12,60
"meanslope",0.8696,3.6734,10,13,60
"ADPEabund",0.5049,1.0495,12,14,60
"meanbathy",0.397,1.0495,13,15,60
"fastIceRatio",0.0886,0.1449,15,16,60
"PredictabilityDec5Years",0,0,17,17,60
"cont800dist",23.1428,16.895,3,1,61
"cont300dist",23.0613,18.2648,1,2,61
"EMPEdist",11.9798,17.3516,2,3,61
"Persistence2Years",11.2768,5.0228,6,4,61
"distToShore",8.9947,9.1324,4,5,61
"ADPEdist",4.307,4.5662,7,6,61
"PredictabilityOct5Years",4.2412,4.1096,9,7,61
"distNearestIceEdge",4.0225,4.5662,8,8,61
"EMPEabund",3.7739,6.8493,5,9,61
"glacierdist",1.7155,2.7397,11,10,61
"fastIceRatio",1.2138,4.1096,10,11,61
"ADPEabund",1.1951,1.8265,12,12,61
"meanslope",0.4271,1.3699,14,13,61
"meanbathy",0.3385,0.9132,15,14,61
"PredictabilityDec5Years",0.2504,1.8265,13,15,61
"DecemberIcePresence",0.0597,0.4566,16,16,61
"InTrough",0,0,17,17,61
"cont300dist",22.8726,16.7421,2,1,62
"cont800dist",20.9449,20.8145,1,2,62
"distToShore",14.3506,11.7647,4,3,62
"EMPEabund",14.1787,5.4299,6,4,62
"EMPEdist",7.2785,12.2172,3,5,62
"distNearestIceEdge",6.3686,5.4299,7,6,62
"Persistence2Years",5.8736,8.5973,5,7,62
"PredictabilityOct5Years",2.2263,2.7149,10,8,62
"meanslope",1.2818,5.4299,8,9,62
"meanbathy",1.2623,0.4525,15,10,62
"fastIceRatio",1.2144,1.3575,13,11,62
"ADPEabund",1.0463,1.81,11,12,62
"glacierdist",0.6495,0.905,14,13,62
"ADPEdist",0.4153,4.9774,9,14,62
"InTrough",0.0366,0,17,15,62
"PredictabilityDec5Years",0,1.3575,12,16,62
"DecemberIcePresence",0,0,16,17,62
"cont800dist",22.8943,18.3827,1,1,63
"cont300dist",21.0195,17.8859,2,2,63
"EMPEdist",15.9145,13.9112,3,3,63
"distToShore",9.7668,11.9239,4,4,63
"ADPEdist",5.5381,5.962,6,5,63
"EMPEabund",5.4507,6.4588,5,6,63
"Persistence2Years",4.3967,3.9746,9,7,63
"PredictabilityOct5Years",3.5756,4.4715,8,8,63
"distNearestIceEdge",3.2996,5.962,7,9,63
"DecemberIcePresence",3.0072,0.9937,13,10,63
"InTrough",2.1346,0.4968,15,11,63
"glacierdist",1.1425,2.4841,11,12,63
"meanslope",0.8696,3.9746,10,13,63
"ADPEabund",0.5049,1.9873,12,14,63
"meanbathy",0.397,0.9937,14,15,63
"fastIceRatio",0.0886,0.1372,16,16,63
"PredictabilityDec5Years",0,0,17,17,63
"cont300dist",22.8726,15.0754,2,1,64
"cont800dist",20.9449,24.6231,1,2,64
"distToShore",14.3506,9.0452,4,3,64
"EMPEabund",14.1787,5.5276,6,4,64
"EMPEdist",7.2785,14.0704,3,5,64
"distNearestIceEdge",6.3686,6.5327,5,6,64
"Persistence2Years",5.8736,5.0251,8,7,64
"PredictabilityOct5Years",2.2263,2.5126,12,8,64
"meanslope",1.2818,5.5276,7,9,64
"meanbathy",1.2623,0.5025,15,10,64
"fastIceRatio",1.2144,0,17,11,64
"ADPEabund",1.0463,3.0151,10,12,64
"glacierdist",0.6495,1.5075,13,13,64
"ADPEdist",0.4153,3.5176,9,14,64
"InTrough",0.0366,1.005,14,15,64
"PredictabilityDec5Years",0,2.5126,11,16,64
"DecemberIcePresence",0,0,16,17,64
"cont800dist",22.8943,18.6607,2,1,65
"cont300dist",21.0195,19.7271,1,2,65
"EMPEdist",15.9145,13.8623,3,3,65
"distToShore",9.7668,11.1964,4,4,65
"ADPEdist",5.5381,1.0663,12,5,65
"EMPEabund",5.4507,7.4643,5,6,65
"Persistence2Years",4.3967,5.8648,7,7,65
"PredictabilityOct5Years",3.5756,5.3316,8,8,65
"distNearestIceEdge",3.2996,6.9311,6,9,65
"DecemberIcePresence",3.0072,1.0663,13,10,65
"InTrough",2.1346,0,16,11,65
"glacierdist",1.1425,2.2838,10,12,65
"meanslope",0.8696,4.2653,9,13,65
"ADPEabund",0.5049,1.0663,11,14,65
"meanbathy",0.397,1.0663,14,15,65
"fastIceRatio",0.0886,0.1472,15,16,65
"PredictabilityDec5Years",0,0,17,17,65
"cont800dist",22.8943,20.2335,1,1,66
"cont300dist",21.0195,14.3115,4,2,66
"EMPEdist",15.9145,16.2855,2,3,66
"distToShore",9.7668,14.805,3,4,66
"ADPEdist",5.5381,3.495,9,5,66
"EMPEabund",5.4507,5.922,5,6,66
"Persistence2Years",4.3967,5.4285,7,7,66
"PredictabilityOct5Years",3.5756,3.948,8,8,66
"distNearestIceEdge",3.2996,5.922,6,9,66
"DecemberIcePresence",3.0072,2.4675,11,10,66
"InTrough",2.1346,0,16,11,66
"glacierdist",1.1425,1.6168,12,12,66
"meanslope",0.8696,3.4545,10,13,66
"ADPEabund",0.5049,0.987,13,14,66
"meanbathy",0.397,0.987,14,15,66
"fastIceRatio",0.0886,0.1363,15,16,66
"PredictabilityDec5Years",0,0,17,17,66
"cont300dist",24.7612,21.7961,1,1,67
"cont800dist",23.3758,18.3546,2,2,67
"EMPEdist",16.6731,16.6338,3,3,67
"distToShore",9.0995,9.7509,4,4,67
"EMPEabund",5.9497,5.1622,6,5,67
"ADPEdist",4.8721,8.227,5,6,67
"Persistence2Years",4.4266,4.0151,8,7,67
"distNearestIceEdge",3.6708,2.2943,10,8,67
"PredictabilityOct5Years",3.0451,5.1622,7,9,67
"glacierdist",1.1227,2.8679,9,10,67
"DecemberIcePresence",0.9072,1.1472,12,11,67
"InTrough",0.6558,1.1472,13,12,67
"fastIceRatio",0.6042,1.1472,14,13,67
"ADPEabund",0.5109,1.1472,11,14,67
"meanslope",0.3248,1.1472,15,15,67
"meanbathy",4e-04,0,17,16,67
"PredictabilityDec5Years",0,0,16,17,67
"cont800dist",22.8943,19.0913,2,1,68
"cont300dist",21.0195,20.152,1,2,68
"EMPEdist",15.9145,17.5004,3,3,68
"distToShore",9.7668,11.6669,4,4,68
"ADPEdist",5.5381,5.3032,6,5,68
"EMPEabund",5.4507,3.7122,8,6,68
"Persistence2Years",4.3967,5.3032,7,7,68
"PredictabilityOct5Years",3.5756,3.7122,9,8,68
"distNearestIceEdge",3.2996,6.3638,5,9,68
